person_age,person_home_ownership,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24,3.0,2.0,1600,13.57,0,0.13,0,3
22,1.0,0.0,25475,10.99,1,0.42,0,3
25,2.0,3.0,20000,14.27,0,0.09,1,4
24,3.0,8.0,20000,8.88,0,0.09,0,4
26,2.0,10.0,21600,12.18,0,0.09,0,3
25,2.0,6.0,11900,14.42,1,0.05,1,3
26,2.0,0.0,25000,14.17,0,0.11,1,2
25,2.0,5.0,35000,13.99,0,0.15,0,4
23,1.0,7.0,25300,10.99,1,0.3,0,3
25,3.0,3.0,1750,13.61,0,0.14,0,3
21,1.0,3.0,25000,12.73,1,0.59,1,3
25,3.0,0.0,3000,12.87,1,0.23,1,4
24,2.0,1.0,3650,9.91,1,0.28,0,3
26,2.0,4.0,20000,11.49,0,0.09,0,4
25,2.0,0.0,30000,19.91,0,0.13,1,2
26,2.0,6.0,35000,10.65,1,0.16,0,2
24,2.0,0.0,4500,11.83,1,0.35,0,4
23,3.0,0.0,2400,13.49,1,0.18,1,2
22,1.0,6.0,25000,14.59,1,0.6,1,2
26,1.0,2.0,25000,9.64,1,0.52,0,4
25,3.0,1.0,3600,14.59,1,0.28,0,3
25,1.0,1.0,25000,16.35,1,0.59,1,3
21,1.0,4.0,25000,10.99,1,0.51,0,2
25,2.0,0.0,25000,18.67,0,0.11,0,2
26,1.0,1.0,3000,9.32,0,0.01,0,4
23,1.0,8.0,7500,8.63,0,0.03,0,2
26,2.0,2.0,25000,10.08,0,0.11,0,2
22,1.0,5.0,25000,11.83,1,0.51,0,3
23,1.0,1.0,25000,7.9,1,0.5,0,3
25,1.0,4.0,25000,5.99,1,0.5,0,2
24,1.0,2.0,25000,15.33,1,0.57,0,2
23,1.0,1.0,25000,11.83,1,0.5,0,4
22,1.0,0.0,25000,10.36,1,0.5,0,2
22,1.0,3.0,25000,12.23,1,0.5,0,3
22,1.0,2.0,25000,11.11,1,0.48,0,4
23,3.0,3.0,4950,7.9,1,0.38,0,4
24,2.0,1.0,25000,11.58,0,0.11,0,2
23,2.0,5.0,21000,8.9,0,0.1,0,3
25,2.0,2.0,25000,16.07,0,0.12,0,3
26,2.0,10.0,20000,14.22,0,0.09,1,2
23,2.0,7.0,35000,14.79,0,0.16,1,3
26,2.0,11.0,12000,7.88,0,0.06,0,2
23,1.0,1.0,25000,13.22,1,0.48,0,2
26,1.0,2.0,25000,11.86,1,0.54,0,4
22,1.0,5.0,25000,13.43,1,0.47,1,4
26,1.0,0.0,25000,15.28,1,0.53,1,2
23,1.0,1.0,25000,17.93,1,0.53,0,2
23,2.0,2.0,1400,9.25,0,0.11,0,4
21,3.0,0.0,4500,12.98,1,0.34,0,4
22,2.0,6.0,16000,10.62,0,0.08,0,4
26,3.0,10.0,22000,11.83,0,0.1,0,4
26,1.0,5.0,25000,18.43,1,0.52,0,2
23,1.0,4.0,25000,11.36,1,0.45,0,3
23,1.0,4.0,25000,15.65,1,0.45,1,3
24,1.0,8.0,25000,13.22,1,0.45,1,4
26,1.0,4.0,25000,12.87,1,0.45,0,2
24,3.0,8.0,20000,13.04,0,0.1,0,3
23,2.0,5.0,22000,17.58,1,0.12,1,3
23,3.0,2.0,7750,17.04,1,0.56,0,4
24,1.0,0.0,25000,10.99,1,0.42,0,3
24,1.0,2.0,25000,11.11,1,0.42,0,3
26,1.0,7.0,25000,14.83,1,0.46,1,2
24,1.0,8.0,12000,12.69,0,0.06,0,2
24,2.0,8.0,12000,13.49,0,0.06,0,2
21,2.0,5.0,16000,14.65,0,0.08,0,4
25,1.0,3.0,25000,16.82,1,0.46,0,4
23,1.0,3.0,25000,12.73,1,0.42,0,3
23,1.0,7.0,25000,10.25,1,0.42,0,4
21,1.0,6.0,25000,10.99,1,0.42,0,4
25,1.0,9.0,25000,12.73,1,0.4,0,2
22,1.0,2.0,25000,14.96,1,0.44,1,3
21,2.0,2.0,25000,13.99,0,0.13,0,2
24,2.0,3.0,24000,7.49,0,0.12,0,4
26,2.0,4.0,15000,14.79,0,0.07,0,3
25,2.0,2.0,15500,11.99,0,0.08,0,2
24,1.0,8.0,10000,8.49,0,0.05,0,4
24,1.0,3.0,25000,9.91,1,0.38,0,2
22,1.0,6.0,25000,13.06,1,0.38,1,3
22,2.0,6.0,9000,6.17,0,0.04,0,4
144,2.0,4.0,6000,11.86,0,0.03,0,2
25,1.0,5.0,18000,16.32,0,0.09,0,3
25,2.0,2.0,12000,10.38,0,0.06,0,2
25,2.0,9.0,23050,14.35,0,0.12,0,3
26,1.0,10.0,25000,15.21,1,0.37,1,2
23,1.0,3.0,25000,7.9,1,0.37,0,4
24,1.0,2.0,25000,10.99,1,0.37,0,3
24,1.0,5.0,25000,14.09,1,0.37,1,3
25,1.0,9.0,25000,17.49,1,0.36,0,2
25,2.0,0.0,12000,11.48,0,0.06,0,3
26,2.0,10.0,20000,17.74,1,0.11,0,2
26,2.0,4.0,3000,13.92,0,0.01,0,3
25,1.0,9.0,25000,15.21,1,0.36,0,3
22,3.0,2.0,4000,10.99,1,0.28,0,3
24,1.0,3.0,25000,11.86,1,0.36,0,4
24,3.0,5.0,6000,7.49,1,0.42,0,3
24,1.0,7.0,25000,16.49,1,0.38,0,4
25,1.0,9.0,25000,15.33,1,0.38,1,2
26,1.0,3.0,25000,11.58,1,0.38,0,4
25,3.0,7.0,5375,5.79,1,0.37,0,2
25,1.0,9.0,25000,13.11,1,0.34,0,2
23,1.0,3.0,25000,10.36,1,0.34,0,3
25,1.0,9.0,25000,10.36,1,0.33,0,2
21,2.0,123.0,20000,6.54,0,0.1,0,4
25,2.0,1.0,10000,12.53,0,0.05,0,4
24,1.0,4.0,25000,10.25,1,0.33,0,4
22,1.0,1.0,25000,15.95,1,0.35,1,4
26,2.0,3.0,20000,12.18,0,0.11,0,4
23,3.0,0.0,24000,11.83,0,0.13,0,3
23,1.0,1.0,25000,10.62,1,0.32,0,3
23,1.0,7.0,25000,10.74,1,0.32,0,3
25,3.0,9.0,10000,10.25,0,0.05,0,4
25,1.0,6.0,15000,15.27,0,0.08,0,2
24,1.0,8.0,25000,15.33,1,0.34,1,2
23,1.0,7.0,25000,15.21,1,0.31,1,2
21,3.0,4.0,6250,14.72,1,0.43,0,2
24,1.0,8.0,25000,15.7,1,0.31,1,2
24,1.0,0.0,25000,13.35,1,0.31,0,4
24,1.0,6.0,25000,6.62,1,0.31,0,2
26,1.0,5.0,25000,13.61,1,0.31,0,4
22,1.0,4.0,25000,11.36,0,0.14,0,2
26,3.0,10.0,5000,7.68,0,0.03,0,2
24,1.0,7.0,22000,14.46,0,0.12,1,4
23,3.0,5.0,2500,11.83,0,0.01,0,2
24,2.0,6.0,20000,13.47,1,0.12,1,4
24,2.0,2.0,20000,11.49,0,0.11,0,3
25,2.0,9.0,15000,6.03,0,0.08,0,3
23,1.0,7.0,25000,16.35,1,0.34,0,4
25,1.0,5.0,25000,7.29,1,0.31,0,3
23,1.0,1.0,25000,11.36,1,0.31,0,3
24,1.0,8.0,25000,10.25,0,0.3,0,2
24,1.0,5.0,25000,11.12,0,0.3,0,3
24,1.0,5.0,25000,12.92,0,0.3,1,3
24,1.0,8.0,18000,18.64,0,0.1,1,4
23,2.0,8.0,28000,7.51,0,0.16,0,3
23,3.0,2.0,4000,16.7,1,0.28,0,2
22,3.0,0.0,2100,11.14,0,0.15,0,4
22,1.0,6.0,25000,18.3,0,0.3,0,4
24,1.0,5.0,25000,10.62,0,0.29,0,4
24,2.0,7.0,14000,11.99,0,0.08,0,2
26,2.0,2.0,12000,9.63,0,0.07,0,4
25,2.0,9.0,10000,18.25,1,0.06,0,4
24,1.0,8.0,25000,14.84,0,0.29,0,3
24,1.0,0.0,25000,14.7,1,0.33,1,3
23,1.0,7.0,25000,16.02,1,0.33,0,4
23,1.0,1.0,25000,15.37,1,0.32,1,2
25,1.0,9.0,25000,10.99,0,0.28,0,4
21,3.0,0.0,6200,7.9,1,0.41,0,2
26,3.0,2.0,25000,10.99,0,0.14,0,4
24,3.0,8.0,21000,11.48,0,0.12,0,3
25,3.0,9.0,20000,14.26,0,0.11,1,4
26,3.0,0.0,10000,8.0,0,0.06,0,4
25,2.0,3.0,9950,11.26,0,0.06,0,2
23,1.0,2.0,25000,16.32,1,0.32,1,3
25,1.0,3.0,25000,17.93,1,0.32,1,4
23,1.0,0.0,25000,11.36,0,0.28,0,3
24,1.0,9.0,25000,14.96,1,0.32,1,4
24,1.0,4.0,25000,13.43,0,0.27,1,3
25,1.0,6.0,25000,12.69,0,0.27,0,3
24,1.0,1.0,25000,12.73,0,0.27,1,4
23,1.0,3.0,25000,15.21,0,0.27,0,4
23,2.0,1.0,1750,12.68,0,0.12,1,3
23,1.0,3.0,25000,19.04,1,0.3,1,4
25,1.0,2.0,25000,15.95,1,0.3,1,3
26,2.0,3.0,2600,8.9,0,0.01,0,4
25,2.0,10.0,8000,7.9,0,0.05,0,2
23,2.0,8.0,21000,11.99,0,0.12,0,3
23,3.0,4.0,4000,13.98,1,0.27,0,4
23,3.0,4.0,4600,10.99,1,0.31,0,2
22,1.0,6.0,25000,15.58,1,0.28,1,2
25,1.0,2.0,25000,10.99,1,0.28,0,2
25,1.0,0.0,25000,14.96,1,0.28,0,4
25,3.0,2.0,1750,15.31,0,0.12,1,4
26,1.0,2.0,25000,15.65,1,0.28,0,3
25,1.0,1.0,25000,9.33,0,0.25,0,4
23,2.0,0.0,3600,13.47,1,0.24,0,4
24,1.0,8.0,25000,10.36,0,0.24,0,3
24,1.0,1.0,25000,16.77,1,0.27,1,4
23,1.0,0.0,25000,14.59,1,0.27,1,2
22,1.0,6.0,3500,11.91,0,0.02,1,2
23,2.0,3.0,7200,8.38,0,0.04,0,3
25,1.0,9.0,9000,10.59,0,0.05,0,3
25,2.0,2.0,8800,14.27,0,0.05,0,3
26,1.0,8.0,12000,12.53,0,0.07,0,4
25,2.0,5.0,25000,16.0,1,0.15,1,3
26,2.0,10.0,10000,11.71,0,0.06,0,4
21,3.0,0.0,3175,11.54,1,0.21,1,3
25,1.0,2.0,25000,15.68,1,0.26,1,4
21,2.0,0.0,1500,10.59,0,0.1,0,2
24,1.0,8.0,25000,12.61,1,0.26,1,2
23,2.0,7.0,2800,8.49,1,0.18,0,3
25,1.0,0.0,30000,17.27,1,0.19,1,4
24,1.0,6.0,18000,8.9,0,0.1,0,4
25,2.0,3.0,10000,11.11,0,0.06,0,4
24,1.0,0.0,25000,14.59,1,0.16,1,2
26,1.0,0.0,13000,12.42,0,0.08,0,3
24,1.0,7.0,25000,15.7,0,0.23,1,2
22,3.0,7.0,2500,12.53,1,0.16,0,3
25,1.0,3.0,5000,16.49,1,0.03,0,2
25,2.0,2.0,20000,7.49,0,0.12,0,2
22,1.0,6.0,25000,14.96,1,0.25,1,2
25,1.0,7.0,25000,12.73,0,0.22,1,4
24,1.0,8.0,25000,10.65,0,0.21,0,4
25,1.0,6.0,25000,10.74,0,0.21,0,2
23,1.0,7.0,25000,9.99,0,0.21,0,2
24,1.0,5.0,25000,15.33,1,0.23,1,2
21,3.0,5.0,1000,7.29,0,0.06,0,4
26,1.0,2.0,25000,15.05,1,0.23,0,3
26,1.0,6.0,25000,10.75,0,0.19,0,3
23,1.0,4.0,25000,16.02,0,0.19,1,2
23,1.0,7.0,25000,11.49,0,0.19,0,4
25,3.0,4.0,20000,12.53,0,0.12,0,4
26,2.0,0.0,12000,13.57,0,0.07,1,2
22,1.0,1.0,14000,11.14,0,0.08,0,3
26,1.0,10.0,24250,12.87,0,0.14,1,3
23,1.0,3.0,20000,11.58,0,0.12,0,3
24,1.0,5.0,1800,11.12,0,0.01,0,3
25,2.0,2.0,35000,10.65,0,0.21,0,2
24,1.0,6.0,25000,10.37,0,0.19,0,2
24,3.0,5.0,3300,6.39,1,0.21,0,4
24,1.0,8.0,25000,16.07,0,0.19,1,3
25,1.0,7.0,25000,10.62,0,0.19,0,2
25,3.0,0.0,3200,18.09,1,0.21,0,2
25,1.0,5.0,25000,11.36,0,0.19,0,4
26,1.0,10.0,25000,12.53,0,0.18,0,4
25,1.0,0.0,25000,9.99,0,0.17,0,4
23,1.0,4.0,25000,10.36,0,0.17,0,3
23,2.0,3.0,9600,5.99,0,0.06,0,3
22,2.0,5.0,24000,15.62,1,0.16,1,2
24,2.0,5.0,20000,10.37,0,0.12,0,4
25,2.0,0.0,25000,19.74,0,0.15,0,4
21,2.0,5.0,20000,6.91,0,0.12,0,4
23,3.0,7.0,6000,7.9,1,0.38,0,2
23,2.0,3.0,2275,13.06,0,0.14,1,4
23,3.0,7.0,2000,6.39,0,0.13,0,3
23,1.0,1.0,25000,14.93,1,0.17,0,3
23,2.0,1.0,5600,12.84,1,0.35,0,4
24,3.0,3.0,3625,17.14,1,0.23,1,2
22,2.0,2.0,5500,7.14,1,0.34,0,3
25,1.0,2.0,25000,8.9,0,0.14,0,2
22,3.0,6.0,2000,12.42,0,0.12,0,3
24,1.0,7.0,25000,12.68,0,0.14,1,2
25,1.0,9.0,25000,11.03,0,0.15,0,2
26,1.0,10.0,30000,7.9,0,0.19,0,4
22,2.0,0.0,35000,10.65,0,0.22,0,4
25,1.0,5.0,25000,11.86,0,0.11,0,4
25,3.0,1.0,5000,8.94,1,0.3,0,4
23,3.0,6.0,4375,9.63,1,0.27,0,4
25,1.0,6.0,24750,14.22,1,0.5,0,3
23,1.0,4.0,24750,9.33,1,0.41,0,3
24,1.0,8.0,24500,13.85,0,0.29,0,4
22,2.0,5.0,2000,10.65,0,0.12,0,2
24,1.0,8.0,24500,11.46,0,0.27,0,4
23,2.0,5.0,35000,7.66,0,0.22,0,2
24,2.0,9.0,12000,16.77,0,0.07,0,4
25,2.0,1.0,12000,9.63,0,0.07,0,4
26,1.0,6.0,25000,12.23,0,0.16,1,4
25,2.0,0.0,10000,14.09,1,0.07,0,4
25,1.0,2.0,24250,13.98,1,0.45,0,4
23,1.0,1.0,24250,10.62,1,0.39,0,4
25,1.0,9.0,24250,17.56,1,0.35,0,4
26,1.0,1.0,24250,14.96,1,0.37,0,2
22,1.0,7.0,24250,15.65,1,0.33,1,2
24,1.0,9.0,24250,15.7,1,0.31,0,2
24,1.0,1.0,24250,12.53,0,0.27,0,3
26,1.0,0.0,24250,17.56,1,0.31,1,3
23,1.0,0.0,24250,12.87,0,0.24,1,2
23,1.0,6.0,24250,15.7,0,0.24,0,2
25,3.0,5.0,15000,11.14,0,0.09,0,4
24,2.0,3.0,20000,16.0,0,0.13,0,3
23,2.0,2.0,25000,15.65,0,0.16,1,2
21,2.0,3.0,15250,15.31,0,0.1,1,4
25,2.0,3.0,20000,13.47,0,0.13,1,2
22,2.0,0.0,4750,13.85,1,0.28,1,2
21,2.0,0.0,6000,10.39,1,0.36,0,4
25,1.0,0.0,24250,11.36,0,0.21,0,2
23,1.0,0.0,24250,11.83,0,0.17,0,3
23,1.0,3.0,24250,12.53,0,0.08,0,3
22,1.0,1.0,24150,14.96,1,0.22,1,3
22,1.0,7.0,24000,13.85,1,0.56,1,3
23,1.0,1.0,24000,11.58,1,0.51,0,4
24,1.0,4.0,24000,16.29,1,0.5,1,2
21,1.0,2.0,24000,16.29,1,0.53,1,2
24,1.0,3.0,24000,17.8,1,0.51,0,2
22,2.0,6.0,1000,11.36,0,0.06,0,2
22,1.0,2.0,24000,17.56,1,0.49,0,4
26,1.0,0.0,24000,7.9,1,0.4,0,4
25,1.0,3.0,24000,10.99,1,0.4,0,4
22,1.0,0.0,24000,7.29,1,0.4,0,3
21,1.0,5.0,24000,10.75,1,0.4,0,2
26,1.0,9.0,24000,7.9,1,0.39,0,3
22,1.0,3.0,24000,14.84,1,0.38,0,2
23,1.0,5.0,24000,19.69,1,0.41,1,2
24,1.0,0.0,24000,14.96,1,0.4,0,4
25,1.0,9.0,24000,6.99,1,0.36,0,3
22,1.0,3.0,24000,16.45,1,0.39,1,4
24,1.0,8.0,24000,10.99,1,0.34,0,4
23,1.0,7.0,24000,10.99,1,0.32,0,2
22,3.0,3.0,3000,7.9,1,0.17,0,4
22,1.0,6.0,24000,12.69,1,0.32,0,4
24,1.0,9.0,24000,10.37,1,0.32,0,3
26,1.0,0.0,24000,15.83,1,0.35,0,3
23,1.0,4.0,24000,13.92,1,0.31,0,3
24,1.0,2.0,24000,10.25,0,0.3,0,2
22,3.0,1.0,3500,7.49,1,0.19,0,4
23,3.0,3.0,4000,5.99,1,0.22,0,2
23,1.0,6.0,24000,12.92,1,0.32,0,2
26,1.0,3.0,24000,11.58,0,0.27,0,3
25,1.0,4.0,24000,8.9,0,0.25,0,2
22,1.0,6.0,24000,19.69,1,0.29,0,3
25,1.0,9.0,24000,6.54,0,0.25,0,4
21,3.0,3.0,4900,14.54,1,0.27,1,4
26,1.0,5.0,24000,12.73,0,0.24,0,4
24,1.0,7.0,24000,15.62,0,0.22,0,4
24,3.0,0.0,6250,6.54,1,0.35,0,4
26,1.0,6.0,24000,20.03,1,0.23,0,4
22,1.0,4.0,24000,9.91,0,0.2,0,4
24,1.0,1.0,24000,12.69,0,0.2,0,4
26,1.0,9.0,24000,20.16,1,0.22,0,3
24,1.0,4.0,24000,16.49,0,0.19,1,4
23,2.0,1.0,2500,15.95,1,0.14,0,2
24,1.0,7.0,24000,11.49,0,0.18,0,3
25,1.0,8.0,24000,10.99,0,0.18,0,2
24,1.0,4.0,24000,13.79,0,0.18,0,2
23,1.0,2.0,24000,20.03,1,0.18,1,3
23,1.0,0.0,24000,7.49,0,0.16,0,4
23,1.0,7.0,24000,16.0,1,0.17,1,2
24,3.0,6.0,13000,7.88,1,0.72,0,3
21,3.0,0.0,6250,10.62,1,0.35,0,4
26,1.0,7.0,24000,10.99,0,0.15,0,4
26,1.0,1.0,24000,18.3,1,0.16,0,2
21,3.0,1.0,2500,11.36,0,0.14,0,3
23,1.0,4.0,23750,13.47,0,0.2,0,2
24,1.0,2.0,23600,11.89,1,0.43,0,3
24,2.0,0.0,10000,12.18,1,0.56,0,2
25,1.0,9.0,23600,13.49,0,0.23,0,4
23,1.0,3.0,23575,14.5,1,0.31,0,4
22,3.0,1.0,5400,15.31,1,0.3,1,2
22,1.0,1.0,23400,7.49,1,0.35,0,2
23,1.0,2.0,23000,12.18,1,0.38,0,4
24,2.0,3.0,1200,11.34,0,0.07,1,4
25,1.0,9.0,23000,9.91,1,0.36,0,3
24,1.0,0.0,23000,11.99,1,0.35,0,4
23,1.0,7.0,23000,9.62,1,0.34,0,2
22,3.0,1.0,3000,9.96,1,0.17,0,3
24,1.0,1.0,23000,14.54,1,0.26,0,2
22,1.0,5.0,22750,11.36,1,0.39,0,4
23,1.0,7.0,22500,14.27,1,0.32,0,2
24,3.0,3.0,3000,11.99,1,0.16,0,3
26,1.0,2.0,22500,18.99,1,0.32,1,2
24,1.0,0.0,22400,16.7,1,0.31,1,4
24,2.0,8.0,5000,9.32,1,0.27,0,3
23,1.0,2.0,22250,12.69,1,0.64,0,3
25,1.0,9.0,22000,13.11,1,0.51,0,2
25,1.0,4.0,22000,10.74,1,0.42,0,2
21,2.0,0.0,4200,14.11,1,0.22,1,4
22,1.0,6.0,22000,9.63,1,0.39,0,3
25,1.0,0.0,22000,14.65,1,0.38,0,2
23,1.0,6.0,22000,10.25,1,0.37,0,4
24,1.0,3.0,22000,14.26,1,0.37,1,2
25,2.0,5.0,3000,9.91,1,0.16,0,2
26,1.0,7.0,22000,17.19,1,0.39,0,3
22,1.0,3.0,22000,11.36,1,0.31,0,4
23,1.0,3.0,22000,10.59,0,0.3,0,3
24,1.0,5.0,22000,9.25,0,0.29,0,2
22,3.0,6.0,3625,8.49,1,0.19,0,3
26,1.0,0.0,22000,6.54,0,0.29,0,3
21,3.0,5.0,6000,8.49,1,0.32,0,3
26,1.0,10.0,22000,12.69,0,0.27,0,2
24,3.0,3.0,7400,13.85,1,0.39,0,2
25,3.0,3.0,4000,7.4,1,0.21,0,3
23,1.0,3.0,22000,11.71,0,0.26,0,4
25,1.0,8.0,22000,11.48,1,0.28,0,3
25,1.0,1.0,22000,17.51,1,0.27,0,2
21,2.0,0.0,3500,14.61,1,0.18,0,3
23,1.0,3.0,22000,7.88,0,0.22,0,4
22,2.0,6.0,4950,11.71,1,0.26,0,2
25,1.0,4.0,21700,11.99,1,0.38,0,2
24,1.0,5.0,21600,13.49,1,0.4,0,2
23,1.0,8.0,21600,21.21,1,0.39,1,4
26,1.0,2.0,21600,14.35,1,0.34,1,3
22,1.0,3.0,21600,13.61,0,0.26,1,3
22,1.0,6.0,21600,11.26,1,0.28,0,3
22,3.0,0.0,2400,10.59,0,0.13,0,3
24,1.0,8.0,21600,7.9,0,0.19,0,2
25,3.0,4.0,3000,11.99,1,0.16,0,4
24,1.0,5.0,21500,16.89,1,0.36,0,3
24,1.0,5.0,21500,9.99,1,0.31,0,3
24,1.0,5.0,21500,15.33,0,0.19,1,3
25,1.0,5.0,21450,7.29,1,0.36,0,4
22,1.0,5.0,21250,12.42,1,0.69,0,3
25,1.0,5.0,21250,10.99,1,0.45,0,2
25,1.0,9.0,21250,6.91,1,0.42,0,2
22,2.0,6.0,5000,14.17,1,0.26,1,2
22,1.0,3.0,21250,10.25,1,0.4,0,3
24,1.0,8.0,21250,15.95,1,0.38,1,3
24,1.0,4.0,21250,15.95,1,0.33,1,4
21,1.0,3.0,21000,12.53,1,0.6,0,4
22,2.0,6.0,1400,14.91,1,0.07,1,4
26,1.0,3.0,21000,6.54,1,0.53,0,4
26,1.0,0.0,21000,17.26,1,0.5,1,4
23,1.0,2.0,21000,11.36,1,0.33,0,2
26,2.0,5.0,4000,7.51,1,0.21,0,4
22,1.0,2.0,21000,10.71,1,0.36,0,3
22,1.0,3.0,21000,13.98,0,0.3,1,4
26,1.0,11.0,21000,14.09,1,0.32,0,3
22,1.0,2.0,21000,10.0,0,0.28,0,3
22,2.0,3.0,5000,15.33,1,0.26,0,3
25,1.0,9.0,21000,16.32,1,0.29,1,4
24,1.0,8.0,21000,7.9,0,0.27,0,2
23,1.0,3.0,21000,11.99,0,0.26,0,3
24,1.0,8.0,21000,10.75,0,0.25,0,4
26,1.0,3.0,21000,13.92,0,0.25,0,3
22,1.0,1.0,21000,9.91,0,0.23,0,3
26,1.0,10.0,21000,16.95,1,0.26,1,3
26,1.0,1.0,21000,7.9,0,0.22,0,3
25,1.0,2.0,21000,16.49,1,0.21,1,3
26,1.0,5.0,21000,8.9,0,0.17,0,2
25,1.0,9.0,21000,12.99,0,0.17,1,3
23,1.0,2.0,20900,12.69,0,0.25,0,2
21,2.0,0.0,15000,9.64,1,0.77,0,2
26,1.0,7.0,20500,7.49,1,0.41,0,3
23,1.0,2.0,20500,13.16,0,0.29,1,3
22,3.0,1.0,2100,8.38,0,0.11,0,4
123,1.0,2.0,20400,10.25,0,0.25,0,3
23,1.0,7.0,20375,7.49,1,0.38,0,2
26,1.0,10.0,20050,9.76,1,0.77,0,2
24,1.0,1.0,20000,10.99,1,0.61,0,3
23,3.0,0.0,5000,11.71,0,0.25,0,4
22,3.0,6.0,9250,10.65,0,0.46,0,4
24,1.0,1.0,20000,12.53,1,0.57,0,4
25,1.0,4.0,20000,14.59,1,0.53,0,4
